,Name,Note,Price ($),URL
0,AMD Ryzen Threadripper PRO 7995WX,153096,9999.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7995WX&id=5726
1,AMD Ryzen Threadripper 7980X,137775,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+7980X&id=5764
2,AMD Ryzen Threadripper PRO 7985WX,136854,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7985WX&id=5732
3,AMD EPYC 9654,126045,6690.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9654&id=5088
4,AMD EPYC 9654P,113949,10625.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9654P&id=5575
5,AMD EPYC 9554P,109858,7104.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9554P&id=5599
6,AMD EPYC 9474F,104894,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9474F&id=5297
7,AMD Ryzen Threadripper PRO 7975WX,100760,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7975WX&id=5729
8,Intel Xeon w9-3495X,96740,5889.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w9-3495X&id=5480
9,AMD EPYC 9454P,96088,4598.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9454P&id=5596
10,AMD Ryzen Threadripper PRO 5995WX,94808,5699.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5995WX&id=4764
11,AMD EPYC 7773X,91491,4999.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7773X&id=4884
12,Intel Xeon Platinum 8470 @2.00GHz,89850,9359.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8470+%402.00GHz&id=5693
13,AMD EPYC 9534,88716,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9534&id=5557
14,AMD EPYC 7763,86143,2494.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7763&id=4207
15,AMD EPYC 7J13,85683,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7J13&id=4300
16,AMD Ryzen Threadripper PRO 7965WX,84785,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+7965WX&id=5731
17,AMD Ryzen Threadripper PRO 3995WX,83562,6866.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+3995WX&id=3837
18,AMD EPYC 7713,83473,3299.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7713&id=4206
19,AMD EPYC 7V13,82878,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7V13&id=4365
20,AMD Ryzen Threadripper 7960X,82862,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+7960X&id=5792
21,AMD EPYC 7T83,81757,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7T83&id=4828
22,AMD EPYC 9754,81404,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9754&id=5752
23,AMD Ryzen Threadripper 3990X,80889,4861.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3990X&id=3674
24,AMD EPYC 7713P,80373,3850.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7713P&id=4714
25,AMD EPYC 9354P,78796,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9354P&id=5173
26,AMD EPYC 7B13,77460,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7B13&id=4535
27,AMD EPYC 7643,76455,4550.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7643&id=4205
28,AMD Ryzen Threadripper PRO 5975WX,75908,2699.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+PRO+5975WX&id=4776
29,Intel Xeon Platinum 8461V,74982,4491.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8461V&id=5664
30,AMD EPYC 9274F,73463,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9274F&id=5513
31,AMD EPYC 7662,73321,3999.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7662&id=4251
32,AMD EPYC 7573X,70868,4962.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7573X&id=4959
33,AMD EPYC 9254,70006,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9254&id=5500
34,AMD EPYC 7702,69872,1013.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7702&id=3719
35,AMD EPYC 7H12,69633,3719.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7H12&id=3618
36,Intel Xeon w7-3465X,69505,2889.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w7-3465X&id=5478
37,AMD EPYC 7742,69183,2098.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7742&id=3547
38,AMD EPYC 75F3,68505,4999.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+75F3&id=4416
